input_length,output_length,latency,timestamp,architecture,scale
2221,783,0.02617216,50904029,MoE,>100B
2097,859,0.000822912,50927414,MoE,>100B
470,70,0.000701621,50933228,MoE,>100B
2034,69,0.001171023,51930248,MoE,>100B
4240,102,0.001247713,51973698,MoE,>100B
8790,19,0.001961655,52002018,MoE,>100B
4472,447,0.00162814,52091783,MoE,>100B
574,63,0.001586269,53855414,MoE,>100B
2598,202,0.00162367,53859391,MoE,>100B
19,729,0.000782702,53902804,MoE,>100B
16,641,0.001511339,53927182,MoE,>100B
2094,645,0.000991182,54019857,MoE,>100B
4320,127,0.000714314,54878378,MoE,>100B
2643,225,0.001506481,54880158,MoE,>100B
7516,236,0.00152414,54934090,MoE,>100B
600,47,0.001616481,55048892,MoE,>100B
6252,572,0.00154633,55868993,MoE,>100B
2003,202,0.001464709,55927326,MoE,>100B
4859,87,0.000841565,55956976,MoE,>100B
4347,208,0.00149912,55961657,MoE,>100B
470,69,0.001711251,55963209,MoE,>100B
692,104,0.002169075,56919864,MoE,>100B
2283,228,0.002067954,56997810,MoE,>100B
8341,386,0.002058945,57026621,MoE,>100B
469,72,0.001840241,57027625,MoE,>100B
2324,321,0.000897752,57075723,MoE,>100B
1696,536,0.000717422,57963387,MoE,>100B
757,190,0.002256815,58087651,MoE,>100B
3567,2669,0.001721931,58887341,MoE,>100B
7349,583,0.001494269,60002667,MoE,>100B
3522,592,0.000775765,60864820,MoE,>100B
4512,274,0.002494615,60904899,MoE,>100B
10,793,0.002198455,60932631,MoE,>100B
4537,549,0.001545741,61881040,MoE,>100B
5142,182,0.00162589,61885769,MoE,>100B
348,239,0.002095043,62074831,MoE,>100B
8514,534,0.001627001,62986176,MoE,>100B
8114,130,0.001261993,63007442,MoE,>100B
580,56,0.001985323,63027817,MoE,>100B
655,91,0.001547639,63051962,MoE,>100B
4158,116,0.002131485,63057085,MoE,>100B
615,54,0.000773442,63136823,MoE,>100B
4533,83,0.001244333,63905331,MoE,>100B
666,122,0.001726742,63943510,MoE,>100B
590,71,0.00164799,64020407,MoE,>100B
2475,685,0.000749005,64860581,MoE,>100B
8056,277,0.002133035,64922470,MoE,>100B
472,0,0.002607356,65891847,MoE,>100B
2818,897,0.001241912,65902935,MoE,>100B
4275,206,0.002154635,65904818,MoE,>100B
62075,767,0.001234073,65961462,MoE,>100B
468,66,0.002141594,65982562,MoE,>100B
24061,3,0.002166094,66005940,MoE,>100B
941,488,0.002153783,66874731,MoE,>100B
740,118,0.00171069,66881489,MoE,>100B
1972,294,0.002511495,66947580,MoE,>100B
1103,199,0.001652581,66979439,MoE,>100B
4181,150,0.002195863,69013733,MoE,>100B
6102,476,0.001304563,69915870,MoE,>100B
1685,136,0.001679041,69988640,MoE,>100B
5085,617,0.001713091,70031866,MoE,>100B
697,56,0.000625251,70051311,MoE,>100B
1797,615,0.000790512,70964393,MoE,>100B
2796,294,0.002229545,71966995,MoE,>100B
5525,11543,0.001746301,72039329,MoE,>100B
1703,122,0.001249233,72068020,MoE,>100B
465,66,0.001662761,72902962,MoE,>100B
2284,435,0.00327952,72976356,MoE,>100B
591,70,0.002097684,73145333,MoE,>100B
10052,15734,0.000779021,73191972,MoE,>100B
10,680,0.000954352,73194593,MoE,>100B
1321,2383,0.000760034,73961600,MoE,>100B
153,8119,0.00164471,74026536,MoE,>100B
4489,0,1.336033391,74930965,MoE,>100B
2091,866,0.002141123,75140974,MoE,>100B
4706,4392,0.001341013,75176847,MoE,>100B
2158,828,0.001707361,77032285,MoE,>100B
5052,134,0.002088852,77083237,MoE,>100B
4774,6,0.002158925,78048169,MoE,>100B
4834,6,0.000777671,78065188,MoE,>100B
958,323,0.002310225,78123947,MoE,>100B
4358,574,0.003513287,78168142,MoE,>100B
2280,99,0.000892886,79987314,MoE,>100B
1964,890,0.00155537,81060979,MoE,>100B
2041,760,0.012943719,81896169,MoE,>100B
4342,344,0.00147481,81958542,MoE,>100B
3372,165,0.001379573,82180059,MoE,>100B
637,72,0.001368123,83161035,MoE,>100B
96,19,0.001313283,83202856,MoE,>100B
23770,0,0.001265893,84064143,MoE,>100B
3666,185,0.002155854,84117837,MoE,>100B
3700,72,0.001617191,84974323,MoE,>100B
2743,209,0.000823541,85130574,MoE,>100B
2667,132,0.000806615,85862152,MoE,>100B
27621,1950,0.001215023,86086465,MoE,>100B
6077,56,0.001464403,86942162,MoE,>100B
8266,471,0.001828681,87066356,MoE,>100B
1235,156,0.001905402,87084739,MoE,>100B
11,703,0.002107565,87104093,MoE,>100B
6959,131,0.001653791,88106307,MoE,>100B
3658,130,0.00162857,89163536,MoE,>100B
8141,293,0.000902082,89174214,MoE,>100B
50121,743,0.000856852,90102452,MoE,>100B
1868,470,0.001375063,90963421,MoE,>100B
105,39,0.002129663,90974546,MoE,>100B
3618,635,0.001492523,91032088,MoE,>100B
6181,917,0.002067305,91102652,MoE,>100B
32438,752,4.172e-05,92005779,MoE,>100B
423,58,0.016039828,92012624,MoE,>100B
5217,181,0.001194233,92904652,MoE,>100B
994,271,0.025403066,93054691,MoE,>100B
9100,157,0.001759441,93160621,MoE,>100B
4438,564,0.002126555,93175901,MoE,>100B
612,83,0.002321185,93997233,MoE,>100B
14778,147,0.002222413,94136826,MoE,>100B
16884,69,0.001616891,94993501,MoE,>100B
800,0,0.001364202,94998783,MoE,>100B
726,147,0.000821392,95063745,MoE,>100B
14,836,0.002028304,96913071,MoE,>100B
2127,2950,0.000748915,97049129,MoE,>100B
4139,181,0.005739222,97956698,MoE,>100B
2192,452,0.001406863,98024981,MoE,>100B
5781,206,0.001295733,98909919,MoE,>100B
8091,283,0.00166947,98993853,MoE,>100B
12,686,0.000866591,99939323,MoE,>100B
43841,894,0.002144495,99988012,MoE,>100B
7683,321,0.000941412,100068385,MoE,>100B
8844,1342,0.002448675,100121155,MoE,>100B
2039,812,0.00167222,100947853,MoE,>100B
2111,612,0.001245992,101895248,MoE,>100B
4010,449,0.001576451,101986010,MoE,>100B
5142,28,0.000727724,103112457,MoE,>100B
2825,128,0.001239662,103970799,MoE,>100B
105,101,0.00920773,104972021,MoE,>100B
8812,16,0.000727465,105028401,MoE,>100B
7289,84,0.002136214,105045313,MoE,>100B
140,7656,0.003188569,105054024,MoE,>100B
5802,266,0.001959743,105080462,MoE,>100B
8872,14,0.001328938,105115099,MoE,>100B
8794,19,0.001311203,105912796,MoE,>100B
8473,531,0.00159332,105998797,MoE,>100B
3077,1614,0.001009793,106955213,MoE,>100B
773,225,0.000775841,106960172,MoE,>100B
196,2,0.001721013,107992460,MoE,>100B
420,50,0.000790691,107999599,MoE,>100B
2169,761,0.00167754,110010394,MoE,>100B
545,0,0.002930668,110017848,MoE,>100B
629,85,0.001836881,110023479,MoE,>100B
3746,0,2.050757644,111063333,MoE,>100B
282,4041,0.002096075,111936263,MoE,>100B
5339,827,0.001601709,111965678,MoE,>100B
3849,161,0.002101104,111977479,MoE,>100B
20869,453,0.006108748,112062530,MoE,>100B
5284,997,0.000773902,112110290,MoE,>100B
639,74,0.00166692,113070493,MoE,>100B
1923,844,0.002086814,114006496,MoE,>100B
8527,542,0.001928232,114889389,MoE,>100B
756,50,0.012434996,114924480,MoE,>100B
814,0,0.001298353,114986034,MoE,>100B
2219,2957,0.001334023,115076845,MoE,>100B
2196,403,0.001719721,115866047,MoE,>100B
8201,525,0.001622641,116080034,MoE,>100B
1776,93,0.001180993,116981665,MoE,>100B
2200,179,0.001233142,116983303,MoE,>100B
2119,750,0.000736814,116983950,MoE,>100B
705,159,0.001024622,118913651,MoE,>100B
4398,163,0.000800552,118917513,MoE,>100B
3988,155,0.001250693,118942555,MoE,>100B
1969,851,0.001579229,118992951,MoE,>100B
4486,231,0.001600961,119886336,MoE,>100B
3821,209,0.00159759,119910453,MoE,>100B
4364,188,0.00166463,119915861,MoE,>100B
40140,455,0.001247683,120038052,MoE,>100B
3481,87,0.001312773,120908226,MoE,>100B
656,109,0.001634021,121042503,MoE,>100B
3064,1160,0.001332768,123003334,MoE,>100B
1135,457,0.00162117,123859098,MoE,>100B
