input_length,output_length,latency,timestamp,architecture,scale
2244,403,0.0016,160056301.0,Dense,30-100B
2915,23,0.0012,161048636.0,Dense,30-100B
231,235,0.0024,163019218.0,Dense,30-100B
920,6,0.0021,164138084.0,Dense,30-100B
1168,213,0.0022,166171320.0,Dense,30-100B
4737,711,0.001,167006095.0,Dense,30-100B
736,116,0.0008,167101855.0,Dense,30-100B
234,536,0.0008,169108042.0,Dense,30-100B
2516,342,0.0007,170049272.0,Dense,30-100B
2958,567,0.0014,170155002.0,Dense,30-100B
794,602,0.0013,170188291.0,Dense,30-100B
239,521,0.0013,173021640.0,Dense,30-100B
340,1905,0.0008,173022082.0,Dense,30-100B
2386,514,0.0021,173055542.0,Dense,30-100B
890,122,0.0022,173073631.0,Dense,30-100B
932,61,0.0021,173144105.0,Dense,30-100B
2246,3,0.0008,174022332.0,Dense,30-100B
6934,790,0.0013,175045271.0,Dense,30-100B
2390,436,0.0015,176056332.0,Dense,30-100B
2485,206,0.0015,176154264.0,Dense,30-100B
1048,65,0.0012,177084533.0,Dense,30-100B
407,15,0.0013,180093538.0,Dense,30-100B
1333,3058,0.0008,181008986.0,Dense,30-100B
302,900,0.0014,185015399.0,Dense,30-100B
403,29,0.0015,185051023.0,Dense,30-100B
2133,250,0.0016,187020726.0,Dense,30-100B
6623,400,0.0018,188022826.0,Dense,30-100B
2979,186,0.0008,189080477.0,Dense,30-100B
139,1876,0.0038,190025371.0,Dense,30-100B
1983,196,0.0007,192007725.0,Dense,30-100B
988,61,0.0013,193205365.0,Dense,30-100B
242,244,0.0013,194137526.0,Dense,30-100B
2406,4,0.0012,194147628.0,Dense,30-100B
4355,193,0.0017,196031123.0,Dense,30-100B
368,41,0.0007,197067122.0,Dense,30-100B
1053,886,0.0007,201015835.0,Dense,30-100B
387,15,0.0012,202020036.0,Dense,30-100B
2480,635,0.0008,203058726.0,Dense,30-100B
433,1,0.0016,204164548.0,Dense,30-100B
475,1439,0.0009,206023660.0,Dense,30-100B
792,689,0.0012,207193040.0,Dense,30-100B
380,35,0.0008,210036269.0,Dense,30-100B
3643,261,0.0014,212012747.0,Dense,30-100B
3630,216,0.0022,212080702.0,Dense,30-100B
649,1201,0.0013,215020634.0,Dense,30-100B
656,635,0.0007,216005958.0,Dense,30-100B
2260,435,0.0015,217004159.0,Dense,30-100B
1692,239,0.0017,217060573.0,Dense,30-100B
224,3,0.0008,217067400.0,Dense,30-100B
225,3,0.0022,217179091.0,Dense,30-100B
567,1898,0.0022,221056679.0,Dense,30-100B
8543,57,0.0013,222017926.0,Dense,30-100B
3351,143,0.0022,222018393.0,Dense,30-100B
2689,723,0.0021,222024898.0,Dense,30-100B
19,0,4.487,222153368.0,Dense,30-100B
5458,184,0.0014,227045717.0,Dense,30-100B
2775,1582,0.0008,227049042.0,Dense,30-100B
1663,411,0.0022,227094524.0,Dense,30-100B
491,697,0.0022,227099021.0,Dense,30-100B
2927,218,0.0008,229020406.0,Dense,30-100B
2329,263,0.0021,229110170.0,Dense,30-100B
263,1107,0.0021,229191815.0,Dense,30-100B
944,36,0.0013,231077317.0,Dense,30-100B
2053,4,0.0013,234076372.0,Dense,30-100B
374,101,0.0013,237028547.0,Dense,30-100B
832,23,0.0014,239055317.0,Dense,30-100B
5897,571,0.0013,240053785.0,Dense,30-100B
228,4,0.0013,242064329.0,Dense,30-100B
933,165,0.0013,243034456.0,Dense,30-100B
3512,86,0.0007,245008580.0,Dense,30-100B
1248,643,0.0013,246104227.0,Dense,30-100B
