input_length,output_length,latency,timestamp,architecture,scale
2377,185,0.00166818,229947449,Dense,30-100B
3533,109,0.001314872,230862336,Dense,30-100B
518,8,0.001378503,231875664,Dense,30-100B
520,2,0.002124613,234027365,Dense,30-100B
296,12,0.002106763,238821696,Dense,30-100B
845,7,0.001237973,238836799,Dense,30-100B
1142,59,0.000741045,239925403,Dense,30-100B
10754,95,0.001633189,240827990,Dense,30-100B
5786,706,0.001284833,242920916,Dense,30-100B
606,54,0.001503933,251002476,Dense,30-100B
1025,16,0.00165423,252799416,Dense,30-100B
1486,126,0.002157425,253934548,Dense,30-100B
225,4,0.001066546,256855451,Dense,30-100B
758,63,0.001263433,257942123,Dense,30-100B
301,1046,0.000741995,258937338,Dense,30-100B
815,1480,0.001808054,259053682,Dense,30-100B
1949,13,0.000747815,259068081,Dense,30-100B
2929,673,0.002654597,264782656,Dense,30-100B
2375,128,0.001287132,266976513,Dense,30-100B
1751,8,0.000732905,269876007,Dense,30-100B
245,124,0.001274193,272910946,Dense,30-100B
222,3,0.001296758,273937040,Dense,30-100B
3885,190,0.000776726,275942344,Dense,30-100B
3108,157,0.000794721,278848272,Dense,30-100B
241,11,0.001406213,281010980,Dense,30-100B
225,4,0.003966688,281929957,Dense,30-100B
1200,33,0.001460983,286919357,Dense,30-100B
1431,153,0.002261065,287998191,Dense,30-100B
2425,344,0.001635111,289040033,Dense,30-100B
10754,132,0.009125626,291888917,Dense,30-100B
588,46,0.001299993,292935023,Dense,30-100B
231,130,0.001042407,294092125,Dense,30-100B
1606,14,0.001207313,296824658,Dense,30-100B
55,1161,0.002166514,299180289,Dense,30-100B
3187,28,0.00164752,301044600,Dense,30-100B
2794,54,0.000798375,302780965,Dense,30-100B
10754,186,0.001687931,302815326,Dense,30-100B
809,58,0.001395433,304941206,Dense,30-100B
1101,138,0.001547079,310923790,Dense,30-100B
589,43,0.001242232,311004710,Dense,30-100B
867,51,0.002167713,311969409,Dense,30-100B
2292,403,0.002207164,311999058,Dense,30-100B
11271,161,0.001576809,312907629,Dense,30-100B
68167,42,0.003069168,314959163,Dense,30-100B
4632,526,0.00169373,315912575,Dense,30-100B
2882,386,0.001246743,318801419,Dense,30-100B
6178,750,0.002501895,318964961,Dense,30-100B
464,8,0.002123603,324911769,Dense,30-100B
1817,302,0.002303025,327942145,Dense,30-100B
3725,860,0.000736474,329966091,Dense,30-100B
363,54,0.018509971,330927393,Dense,30-100B
4129,152,0.001233473,331956664,Dense,30-100B
927,576,0.000732002,336102843,Dense,30-100B
249,479,0.001261222,337904539,Dense,30-100B
220,3,0.002000664,340821882,Dense,30-100B
2572,243,0.002162965,341071086,Dense,30-100B
225,3,0.002052345,343008823,Dense,30-100B
248,606,0.000831265,343917877,Dense,30-100B
860,39,0.000712904,344904591,Dense,30-100B
2341,51,0.000780275,344982630,Dense,30-100B
251,483,0.002153884,345943771,Dense,30-100B
906,699,0.000789316,348905311,Dense,30-100B
10754,151,0.00165795,348973963,Dense,30-100B
1820,1003,0.000800706,357786134,Dense,30-100B
3009,22,0.001302904,357981637,Dense,30-100B
228,5,0.001337864,361820208,Dense,30-100B
147,1,0.000776345,361943753,Dense,30-100B
5956,638,0.001280564,362905866,Dense,30-100B
354,4,0.002143182,363040855,Dense,30-100B
253,499,0.001217603,364881979,Dense,30-100B
